file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,52,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,2,29
style.css,53,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,2,18
style.css,54,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,2,15
style.css,55,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,2,18
style.css,56,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,0
style.css,57,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,0
style.css,58,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,46
style.css,59,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,31
style.css,60,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,0
style.css,61,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,23
style.css,62,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,22
style.css,63,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,13
style.css,64,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,10
style.css,65,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,20
style.css,66,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,34
style.css,67,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,19
style.css,68,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,15
style.css,69,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,21
style.css,70,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,0
style.css,71,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,51
style.css,72,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,11
style.css,73,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,18
style.css,74,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,10
style.css,75,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,13
style.css,76,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,34
style.css,77,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,19
style.css,78,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,18
style.css,79,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,13
style.css,80,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,14
style.css,81,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,0
style.css,82,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,40
style.css,83,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,49
style.css,84,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,37
style.css,85,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,18
style.css,86,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,32
style.css,87,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,0
style.css,88,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,0
style.css,89,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,9
style.css,90,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,12
style.css,91,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,58
style.css,92,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,11
style.css,93,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,17
style.css,94,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,0
style.css,95,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,17
style.css,96,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,12
style.css,97,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,10
style.css,98,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,15
style.css,99,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,0
style.css,100,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,39
style.css,101,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,29
style.css,102,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,48
style.css,103,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,0
style.css,104,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,43
style.css,105,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,48
style.css,106,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,43
style.css,107,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,0
style.css,108,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,44
style.css,109,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,58
style.css,110,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,33
style.css,111,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,0
style.css,112,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,7
style.css,113,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,12
style.css,114,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,8
style.css,115,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,0
style.css,116,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,16
style.css,117,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,25
style.css,118,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,41
style.css,119,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,0
style.css,120,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,19
style.css,121,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,32
style.css,122,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,15
style.css,123,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,19
style.css,124,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,0
style.css,125,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,43
style.css,126,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,20
style.css,127,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,8
style.css,128,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,16
style.css,129,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,20
style.css,130,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,24
style.css,131,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,15
style.css,132,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,0
style.css,133,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,27
style.css,134,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,10
style.css,135,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,13
style.css,136,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,12
style.css,137,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,10
style.css,138,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,30
style.css,139,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,20
style.css,140,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,17
style.css,141,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,0
style.css,142,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,15
style.css,143,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,12
style.css,144,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,25
style.css,145,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,14
style.css,146,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,19
style.css,147,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,1,28
style.css,148,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,0
style.css,149,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,46
style.css,150,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,45
style.css,151,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,40
style.css,152,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,32
style.css,153,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,54
style.css,154,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,30
style.css,155,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,46
style.css,156,css,4b43d6df,LeDoesCS,2025-10-10,20:49:15,-07:00,2025-10-10T20:49:15-07:00,0,60
